
 eiger (gplogin1.local) : TURBOMOLE V7.2 ( 21285 ) 30 Jun 2017 at 11:51:10
 Copyright (C) 2017 TURBOMOLE GmbH, Karlsruhe


    2018-01-22 10:40:02.054 

                                                                                
  
 HOMO-LUMO Separation
   HOMO:   420.   420 a     -0.18505027 H =     -5.03548 eV
   LUMO:   421.   421 a     -0.14010114 H =     -3.81235 eV
   Gap :                    +0.04494914 H =     +1.22313 eV
 
Number of MOs=   3970, Electrons=    840.00, Symmetry: c1   
 
   Nr.   Orbital    Occupation       Energy
 3009.  3009 a                     +3.772018 H =      +102.642 eV
 3008.  3008 a                     +3.769942 H =      +102.585 eV
 3007.  3007 a                     +3.768283 H =      +102.540 eV
 3006.  3006 a                     +3.767524 H =      +102.520 eV
 3005.  3005 a                     +3.765835 H =      +102.474 eV
 3004.  3004 a                     +3.764461 H =      +102.436 eV
 3003.  3003 a                     +3.763886 H =      +102.421 eV
 3002.  3002 a                     +3.761954 H =      +102.368 eV
 3001.  3001 a                     +3.760550 H =      +102.330 eV
 3000.  3000 a                     +3.758856 H =      +102.284 eV
 2999.  2999 a                     +3.757980 H =      +102.260 eV
 2998.  2998 a                     +3.757724 H =      +102.253 eV
 2997.  2997 a                     +3.756119 H =      +102.209 eV
 2996.  2996 a                     +3.755147 H =      +102.183 eV
 2995.  2995 a                     +3.753671 H =      +102.143 eV
 2994.  2994 a                     +3.751095 H =      +102.073 eV
 2993.  2993 a                     +3.750163 H =      +102.047 eV
 2992.  2992 a                     +3.748873 H =      +102.012 eV
 2991.  2991 a                     +3.746301 H =      +101.942 eV
 2990.  2990 a                     +3.745985 H =      +101.933 eV
 2989.  2989 a                     +3.744262 H =      +101.887 eV
 2988.  2988 a                     +3.742778 H =      +101.846 eV
 2987.  2987 a                     +3.741041 H =      +101.799 eV
 2986.  2986 a                     +3.738658 H =      +101.734 eV
 2985.  2985 a                     +3.737387 H =      +101.700 eV
 2984.  2984 a                     +3.736187 H =      +101.667 eV
 2983.  2983 a                     +3.734202 H =      +101.613 eV
 2982.  2982 a                     +3.733111 H =      +101.583 eV
 2981.  2981 a                     +3.731504 H =      +101.539 eV
 2980.  2980 a                     +3.729739 H =      +101.491 eV
 2979.  2979 a                     +3.728650 H =      +101.462 eV
 2978.  2978 a                     +3.727935 H =      +101.442 eV
 2977.  2977 a                     +3.726243 H =      +101.396 eV
 2976.  2976 a                     +3.726077 H =      +101.392 eV
 2975.  2975 a                     +3.722925 H =      +101.306 eV
 2974.  2974 a                     +3.721471 H =      +101.266 eV
 2973.  2973 a                     +3.720991 H =      +101.253 eV
 2972.  2972 a                     +3.720593 H =      +101.243 eV
 2971.  2971 a                     +3.716545 H =      +101.132 eV
 2970.  2970 a                     +3.715110 H =      +101.093 eV
 2969.  2969 a                     +3.713861 H =      +101.059 eV
 2968.  2968 a                     +3.712264 H =      +101.016 eV
 2967.  2967 a                     +3.711394 H =      +100.992 eV
 2966.  2966 a                     +3.709458 H =      +100.940 eV
 2965.  2965 a                     +3.708362 H =      +100.910 eV
 2964.  2964 a                     +3.706802 H =      +100.867 eV
 2963.  2963 a                     +3.703684 H =      +100.782 eV
 2962.  2962 a                     +3.702275 H =      +100.744 eV
 2961.  2961 a                     +3.700218 H =      +100.688 eV
 2960.  2960 a                     +3.698566 H =      +100.643 eV
 2959.  2959 a                     +3.696067 H =      +100.575 eV
 2958.  2958 a                     +3.692954 H =      +100.490 eV
 2957.  2957 a                     +3.690815 H =      +100.432 eV
 2956.  2956 a                     +3.686943 H =      +100.327 eV
 2955.  2955 a                     +3.685686 H =      +100.293 eV
 2954.  2954 a                     +3.683996 H =      +100.247 eV
 2953.  2953 a                     +3.682912 H =      +100.217 eV
 2952.  2952 a                     +3.681924 H =      +100.190 eV
 2951.  2951 a                     +3.677494 H =      +100.070 eV
 2950.  2950 a                     +3.675640 H =      +100.019 eV
 2949.  2949 a                     +3.673777 H =       +99.969 eV
 2948.  2948 a                     +3.669817 H =       +99.861 eV
 2947.  2947 a                     +3.669445 H =       +99.851 eV
 2946.  2946 a                     +3.667391 H =       +99.795 eV
 2945.  2945 a                     +3.667159 H =       +99.789 eV
 2944.  2944 a                     +3.663787 H =       +99.697 eV
 2943.  2943 a                     +3.660650 H =       +99.611 eV
 2942.  2942 a                     +3.659436 H =       +99.578 eV
 2941.  2941 a                     +3.656661 H =       +99.503 eV
 2940.  2940 a                     +3.655807 H =       +99.480 eV
 2939.  2939 a                     +3.653597 H =       +99.419 eV
 2938.  2938 a                     +3.652605 H =       +99.392 eV
 2937.  2937 a                     +3.650592 H =       +99.338 eV
 2936.  2936 a                     +3.650412 H =       +99.333 eV
 2935.  2935 a                     +3.645742 H =       +99.206 eV
 2934.  2934 a                     +3.644830 H =       +99.181 eV
 2933.  2933 a                     +3.642388 H =       +99.114 eV
 2932.  2932 a                     +3.640784 H =       +99.071 eV
 2931.  2931 a                     +3.638162 H =       +98.999 eV
 2930.  2930 a                     +3.636841 H =       +98.964 eV
 2929.  2929 a                     +3.636121 H =       +98.944 eV
 2928.  2928 a                     +3.631669 H =       +98.823 eV
 2927.  2927 a                     +3.630782 H =       +98.799 eV
 2926.  2926 a                     +3.630544 H =       +98.792 eV
 2925.  2925 a                     +3.627540 H =       +98.710 eV
 2924.  2924 a                     +3.625977 H =       +98.668 eV
 2923.  2923 a                     +3.625439 H =       +98.653 eV
 2922.  2922 a                     +3.622999 H =       +98.587 eV
 2921.  2921 a                     +3.621412 H =       +98.544 eV
 2920.  2920 a                     +3.618412 H =       +98.462 eV
 2919.  2919 a                     +3.617154 H =       +98.428 eV
 2918.  2918 a                     +3.613854 H =       +98.338 eV
 2917.  2917 a                     +3.612500 H =       +98.301 eV
 2916.  2916 a                     +3.609834 H =       +98.229 eV
 2915.  2915 a                     +3.608097 H =       +98.181 eV
 2914.  2914 a                     +3.607503 H =       +98.165 eV
 2913.  2913 a                     +3.603774 H =       +98.064 eV
 2912.  2912 a                     +3.602862 H =       +98.039 eV
 2911.  2911 a                     +3.601563 H =       +98.004 eV
 2910.  2910 a                     +3.598295 H =       +97.915 eV
 2909.  2909 a                     +3.594817 H =       +97.820 eV
 2908.  2908 a                     +3.593377 H =       +97.781 eV
 2907.  2907 a                     +3.591219 H =       +97.722 eV
 2906.  2906 a                     +3.590332 H =       +97.698 eV
 2905.  2905 a                     +3.587868 H =       +97.631 eV
 2904.  2904 a                     +3.585942 H =       +97.579 eV
 2903.  2903 a                     +3.585093 H =       +97.555 eV
 2902.  2902 a                     +3.583086 H =       +97.501 eV
 2901.  2901 a                     +3.581428 H =       +97.456 eV
 2900.  2900 a                     +3.581213 H =       +97.450 eV
 2899.  2899 a                     +3.576771 H =       +97.329 eV
 2898.  2898 a                     +3.575069 H =       +97.283 eV
 2897.  2897 a                     +3.572715 H =       +97.219 eV
 2896.  2896 a                     +3.572084 H =       +97.201 eV
 2895.  2895 a                     +3.569288 H =       +97.125 eV
 2894.  2894 a                     +3.567352 H =       +97.073 eV
 2893.  2893 a                     +3.565568 H =       +97.024 eV
 2892.  2892 a                     +3.563990 H =       +96.981 eV
 2891.  2891 a                     +3.562818 H =       +96.949 eV
 2890.  2890 a                     +3.562079 H =       +96.929 eV
 2889.  2889 a                     +3.560149 H =       +96.877 eV
 2888.  2888 a                     +3.557907 H =       +96.816 eV
 2887.  2887 a                     +3.556214 H =       +96.770 eV
 2886.  2886 a                     +3.554653 H =       +96.727 eV
 2885.  2885 a                     +3.553458 H =       +96.695 eV
 2884.  2884 a                     +3.552126 H =       +96.658 eV
 2883.  2883 a                     +3.550994 H =       +96.628 eV
 2882.  2882 a                     +3.548507 H =       +96.560 eV
 2881.  2881 a                     +3.546912 H =       +96.516 eV
 2880.  2880 a                     +3.546493 H =       +96.505 eV
 2879.  2879 a                     +3.545410 H =       +96.476 eV
 2878.  2878 a                     +3.543651 H =       +96.428 eV
 2877.  2877 a                     +3.542655 H =       +96.401 eV
 2876.  2876 a                     +3.541099 H =       +96.358 eV
 2875.  2875 a                     +3.540158 H =       +96.333 eV
 2874.  2874 a                     +3.538715 H =       +96.293 eV
 2873.  2873 a                     +3.537247 H =       +96.253 eV
 2872.  2872 a                     +3.534726 H =       +96.185 eV
 2871.  2871 a                     +3.532734 H =       +96.131 eV
 2870.  2870 a                     +3.529491 H =       +96.042 eV
 2869.  2869 a                     +3.529201 H =       +96.034 eV
 2868.  2868 a                     +3.528163 H =       +96.006 eV
 2867.  2867 a                     +3.525214 H =       +95.926 eV
 2866.  2866 a                     +3.523207 H =       +95.871 eV
 2865.  2865 a                     +3.521797 H =       +95.833 eV
 2864.  2864 a                     +3.520678 H =       +95.803 eV
 2863.  2863 a                     +3.520140 H =       +95.788 eV
 2862.  2862 a                     +3.517371 H =       +95.713 eV
 2861.  2861 a                     +3.514648 H =       +95.638 eV
 2860.  2860 a                     +3.513739 H =       +95.614 eV
 2859.  2859 a                     +3.511429 H =       +95.551 eV
 2858.  2858 a                     +3.509834 H =       +95.507 eV
 2857.  2857 a                     +3.507162 H =       +95.435 eV
 2856.  2856 a                     +3.506498 H =       +95.417 eV
 2855.  2855 a                     +3.504308 H =       +95.357 eV
 2854.  2854 a                     +3.501704 H =       +95.286 eV
 2853.  2853 a                     +3.500599 H =       +95.256 eV
 2852.  2852 a                     +3.498836 H =       +95.208 eV
 2851.  2851 a                     +3.497227 H =       +95.164 eV
 2850.  2850 a                     +3.496017 H =       +95.132 eV
 2849.  2849 a                     +3.493255 H =       +95.056 eV
 2848.  2848 a                     +3.492890 H =       +95.046 eV
 2847.  2847 a                     +3.491421 H =       +95.006 eV
 2846.  2846 a                     +3.489567 H =       +94.956 eV
 2845.  2845 a                     +3.489026 H =       +94.941 eV
 2844.  2844 a                     +3.486800 H =       +94.881 eV
 2843.  2843 a                     +3.483066 H =       +94.779 eV
 2842.  2842 a                     +3.481499 H =       +94.736 eV
 2841.  2841 a                     +3.480624 H =       +94.713 eV
 2840.  2840 a                     +3.478991 H =       +94.668 eV
 2839.  2839 a                     +3.477469 H =       +94.627 eV
 2838.  2838 a                     +3.475593 H =       +94.576 eV
 2837.  2837 a                     +3.474167 H =       +94.537 eV
 2836.  2836 a                     +3.472595 H =       +94.494 eV
 2835.  2835 a                     +3.472096 H =       +94.481 eV
 2834.  2834 a                     +3.470913 H =       +94.448 eV
 2833.  2833 a                     +3.467636 H =       +94.359 eV
 2832.  2832 a                     +3.466592 H =       +94.331 eV
 2831.  2831 a                     +3.465359 H =       +94.297 eV
 2830.  2830 a                     +3.462719 H =       +94.225 eV
 2829.  2829 a                     +3.459993 H =       +94.151 eV
 2828.  2828 a                     +3.458616 H =       +94.114 eV
 2827.  2827 a                     +3.456029 H =       +94.043 eV
 2826.  2826 a                     +3.453647 H =       +93.979 eV
 2825.  2825 a                     +3.452544 H =       +93.949 eV
 2824.  2824 a                     +3.450847 H =       +93.902 eV
 2823.  2823 a                     +3.448984 H =       +93.852 eV
 2822.  2822 a                     +3.447647 H =       +93.815 eV
 2821.  2821 a                     +3.445909 H =       +93.768 eV
 2820.  2820 a                     +3.444458 H =       +93.729 eV
 2819.  2819 a                     +3.444394 H =       +93.727 eV
 2818.  2818 a                     +3.441013 H =       +93.635 eV
 2817.  2817 a                     +3.439515 H =       +93.594 eV
 2816.  2816 a                     +3.438057 H =       +93.554 eV
 2815.  2815 a                     +3.436961 H =       +93.525 eV
 2814.  2814 a                     +3.435072 H =       +93.473 eV
 2813.  2813 a                     +3.433090 H =       +93.419 eV
 2812.  2812 a                     +3.431112 H =       +93.365 eV
 2811.  2811 a                     +3.430825 H =       +93.358 eV
 2810.  2810 a                     +3.427801 H =       +93.275 eV
 2809.  2809 a                     +3.425740 H =       +93.219 eV
 2808.  2808 a                     +3.424009 H =       +93.172 eV
 2807.  2807 a                     +3.423740 H =       +93.165 eV
 2806.  2806 a                     +3.422389 H =       +93.128 eV
 2805.  2805 a                     +3.421168 H =       +93.095 eV
 2804.  2804 a                     +3.419561 H =       +93.051 eV
 2803.  2803 a                     +3.418086 H =       +93.011 eV
 2802.  2802 a                     +3.416939 H =       +92.980 eV
 2801.  2801 a                     +3.415628 H =       +92.944 eV
 2800.  2800 a                     +3.415143 H =       +92.931 eV
 2799.  2799 a                     +3.413001 H =       +92.873 eV
 2798.  2798 a                     +3.412343 H =       +92.855 eV
 2797.  2797 a                     +3.409954 H =       +92.790 eV
 2796.  2796 a                     +3.409402 H =       +92.775 eV
 2795.  2795 a                     +3.407974 H =       +92.736 eV
 2794.  2794 a                     +3.406852 H =       +92.705 eV
 2793.  2793 a                     +3.406081 H =       +92.684 eV
 2792.  2792 a                     +3.405355 H =       +92.664 eV
 2791.  2791 a                     +3.404966 H =       +92.654 eV
 2790.  2790 a                     +3.403900 H =       +92.625 eV
 2789.  2789 a                     +3.401145 H =       +92.550 eV
 2788.  2788 a                     +3.399464 H =       +92.504 eV
 2787.  2787 a                     +3.398973 H =       +92.491 eV
 2786.  2786 a                     +3.397799 H =       +92.459 eV
 2785.  2785 a                     +3.396460 H =       +92.422 eV
 2784.  2784 a                     +3.395788 H =       +92.404 eV
 2783.  2783 a                     +3.393984 H =       +92.355 eV
 2782.  2782 a                     +3.391445 H =       +92.286 eV
 2781.  2781 a                     +3.389904 H =       +92.244 eV
 2780.  2780 a                     +3.389521 H =       +92.234 eV
 2779.  2779 a                     +3.388682 H =       +92.211 eV
 2778.  2778 a                     +3.386485 H =       +92.151 eV
 2777.  2777 a                     +3.385460 H =       +92.123 eV
 2776.  2776 a                     +3.384204 H =       +92.089 eV
 2775.  2775 a                     +3.383348 H =       +92.066 eV
 2774.  2774 a                     +3.382027 H =       +92.030 eV
 2773.  2773 a                     +3.379817 H =       +91.970 eV
 2772.  2772 a                     +3.378557 H =       +91.935 eV
 2771.  2771 a                     +3.377028 H =       +91.894 eV
 2770.  2770 a                     +3.375679 H =       +91.857 eV
 2769.  2769 a                     +3.373951 H =       +91.810 eV
 2768.  2768 a                     +3.371967 H =       +91.756 eV
 2767.  2767 a                     +3.369606 H =       +91.692 eV
 2766.  2766 a                     +3.368919 H =       +91.673 eV
 2765.  2765 a                     +3.365893 H =       +91.591 eV
 2764.  2764 a                     +3.365253 H =       +91.573 eV
 2763.  2763 a                     +3.363627 H =       +91.529 eV
 2762.  2762 a                     +3.362137 H =       +91.488 eV
 2761.  2761 a                     +3.359598 H =       +91.419 eV
 2760.  2760 a                     +3.359054 H =       +91.405 eV
 2759.  2759 a                     +3.357560 H =       +91.364 eV
 2758.  2758 a                     +3.355665 H =       +91.312 eV
 2757.  2757 a                     +3.354491 H =       +91.280 eV
 2756.  2756 a                     +3.353028 H =       +91.241 eV
 2755.  2755 a                     +3.352308 H =       +91.221 eV
 2754.  2754 a                     +3.350809 H =       +91.180 eV
 2753.  2753 a                     +3.348840 H =       +91.127 eV
 2752.  2752 a                     +3.348029 H =       +91.105 eV
 2751.  2751 a                     +3.345673 H =       +91.040 eV
 2750.  2750 a                     +3.345494 H =       +91.036 eV
 2749.  2749 a                     +3.343015 H =       +90.968 eV
 2748.  2748 a                     +3.340822 H =       +90.908 eV
 2747.  2747 a                     +3.339675 H =       +90.877 eV
 2746.  2746 a                     +3.338435 H =       +90.843 eV
 2745.  2745 a                     +3.338331 H =       +90.841 eV
 2744.  2744 a                     +3.335797 H =       +90.772 eV
 2743.  2743 a                     +3.334065 H =       +90.725 eV
 2742.  2742 a                     +3.333678 H =       +90.714 eV
 2741.  2741 a                     +3.331470 H =       +90.654 eV
 2740.  2740 a                     +3.330325 H =       +90.623 eV
 2739.  2739 a                     +3.329453 H =       +90.599 eV
 2738.  2738 a                     +3.327197 H =       +90.538 eV
 2737.  2737 a                     +3.325680 H =       +90.496 eV
 2736.  2736 a                     +3.324819 H =       +90.473 eV
 2735.  2735 a                     +3.322926 H =       +90.421 eV
 2734.  2734 a                     +3.322683 H =       +90.415 eV
 2733.  2733 a                     +3.320973 H =       +90.368 eV
 2732.  2732 a                     +3.319406 H =       +90.326 eV
 2731.  2731 a                     +3.318176 H =       +90.292 eV
 2730.  2730 a                     +3.316808 H =       +90.255 eV
 2729.  2729 a                     +3.315192 H =       +90.211 eV
 2728.  2728 a                     +3.312897 H =       +90.149 eV
 2727.  2727 a                     +3.312673 H =       +90.142 eV
 2726.  2726 a                     +3.310728 H =       +90.090 eV
 2725.  2725 a                     +3.310207 H =       +90.075 eV
 2724.  2724 a                     +3.308542 H =       +90.030 eV
 2723.  2723 a                     +3.308125 H =       +90.019 eV
 2722.  2722 a                     +3.306996 H =       +89.988 eV
 2721.  2721 a                     +3.306235 H =       +89.967 eV
 2720.  2720 a                     +3.304292 H =       +89.914 eV
 2719.  2719 a                     +3.302716 H =       +89.872 eV
 2718.  2718 a                     +3.301517 H =       +89.839 eV
 2717.  2717 a                     +3.300123 H =       +89.801 eV
 2716.  2716 a                     +3.299296 H =       +89.778 eV
 2715.  2715 a                     +3.297773 H =       +89.737 eV
 2714.  2714 a                     +3.297711 H =       +89.735 eV
 2713.  2713 a                     +3.295099 H =       +89.664 eV
 2712.  2712 a                     +3.293222 H =       +89.613 eV
 2711.  2711 a                     +3.291684 H =       +89.571 eV
 2710.  2710 a                     +3.290386 H =       +89.536 eV
 2709.  2709 a                     +3.289701 H =       +89.517 eV
 2708.  2708 a                     +3.289069 H =       +89.500 eV
 2707.  2707 a                     +3.286989 H =       +89.444 eV
 2706.  2706 a                     +3.284090 H =       +89.365 eV
 2705.  2705 a                     +3.283229 H =       +89.341 eV
 2704.  2704 a                     +3.281381 H =       +89.291 eV
 2703.  2703 a                     +3.280724 H =       +89.273 eV
 2702.  2702 a                     +3.279323 H =       +89.235 eV
 2701.  2701 a                     +3.278619 H =       +89.216 eV
 2700.  2700 a                     +3.277203 H =       +89.177 eV
 2699.  2699 a                     +3.276040 H =       +89.146 eV
 2698.  2698 a                     +3.274037 H =       +89.091 eV
 2697.  2697 a                     +3.273289 H =       +89.071 eV
 2696.  2696 a                     +3.273113 H =       +89.066 eV
 2695.  2695 a                     +3.270238 H =       +88.988 eV
 2694.  2694 a                     +3.269531 H =       +88.969 eV
 2693.  2693 a                     +3.267353 H =       +88.909 eV
 2692.  2692 a                     +3.265211 H =       +88.851 eV
 2691.  2691 a                     +3.264057 H =       +88.820 eV
 2690.  2690 a                     +3.262508 H =       +88.777 eV
 2689.  2689 a                     +3.261063 H =       +88.738 eV
 2688.  2688 a                     +3.259918 H =       +88.707 eV
 2687.  2687 a                     +3.258417 H =       +88.666 eV
 2686.  2686 a                     +3.256748 H =       +88.621 eV
 2685.  2685 a                     +3.254928 H =       +88.571 eV
 2684.  2684 a                     +3.252624 H =       +88.508 eV
 2683.  2683 a                     +3.252057 H =       +88.493 eV
 2682.  2682 a                     +3.251084 H =       +88.467 eV
 2681.  2681 a                     +3.249328 H =       +88.419 eV
 2680.  2680 a                     +3.248538 H =       +88.397 eV
 2679.  2679 a                     +3.247138 H =       +88.359 eV
 2678.  2678 a                     +3.245039 H =       +88.302 eV
 2677.  2677 a                     +3.243921 H =       +88.272 eV
 2676.  2676 a                     +3.243312 H =       +88.255 eV
 2675.  2675 a                     +3.241944 H =       +88.218 eV
 2674.  2674 a                     +3.240529 H =       +88.179 eV
 2673.  2673 a                     +3.239694 H =       +88.157 eV
 2672.  2672 a                     +3.237175 H =       +88.088 eV
 2671.  2671 a                     +3.235607 H =       +88.045 eV
 2670.  2670 a                     +3.233929 H =       +88.000 eV
 2669.  2669 a                     +3.233632 H =       +87.992 eV
 2668.  2668 a                     +3.232059 H =       +87.949 eV
 2667.  2667 a                     +3.230510 H =       +87.907 eV
 2666.  2666 a                     +3.228397 H =       +87.849 eV
 2665.  2665 a                     +3.227553 H =       +87.826 eV
 2664.  2664 a                     +3.226429 H =       +87.796 eV
 2663.  2663 a                     +3.225703 H =       +87.776 eV
 2662.  2662 a                     +3.225247 H =       +87.763 eV
 2661.  2661 a                     +3.223962 H =       +87.729 eV
 2660.  2660 a                     +3.222418 H =       +87.687 eV
 2659.  2659 a                     +3.221450 H =       +87.660 eV
 2658.  2658 a                     +3.219424 H =       +87.605 eV
 2657.  2657 a                     +3.218142 H =       +87.570 eV
 2656.  2656 a                     +3.217137 H =       +87.543 eV
 2655.  2655 a                     +3.215314 H =       +87.493 eV
 2654.  2654 a                     +3.214557 H =       +87.473 eV
 2653.  2653 a                     +3.213683 H =       +87.449 eV
 2652.  2652 a                     +3.212770 H =       +87.424 eV
 2651.  2651 a                     +3.210622 H =       +87.366 eV
 2650.  2650 a                     +3.209861 H =       +87.345 eV
 2649.  2649 a                     +3.207845 H =       +87.290 eV
 2648.  2648 a                     +3.207495 H =       +87.280 eV
 2647.  2647 a                     +3.206595 H =       +87.256 eV
 2646.  2646 a                     +3.205170 H =       +87.217 eV
 2645.  2645 a                     +3.204284 H =       +87.193 eV
 2644.  2644 a                     +3.202201 H =       +87.136 eV
 2643.  2643 a                     +3.201167 H =       +87.108 eV
 2642.  2642 a                     +3.199724 H =       +87.069 eV
 2641.  2641 a                     +3.198631 H =       +87.039 eV
 2640.  2640 a                     +3.197705 H =       +87.014 eV
 2639.  2639 a                     +3.196613 H =       +86.984 eV
 2638.  2638 a                     +3.195588 H =       +86.956 eV
 2637.  2637 a                     +3.192295 H =       +86.867 eV
 2636.  2636 a                     +3.191835 H =       +86.854 eV
 2635.  2635 a                     +3.190053 H =       +86.806 eV
 2634.  2634 a                     +3.189013 H =       +86.778 eV
 2633.  2633 a                     +3.187048 H =       +86.724 eV
 2632.  2632 a                     +3.185033 H =       +86.669 eV
 2631.  2631 a                     +3.184149 H =       +86.645 eV
 2630.  2630 a                     +3.183247 H =       +86.621 eV
 2629.  2629 a                     +3.181790 H =       +86.581 eV
 2628.  2628 a                     +3.181102 H =       +86.562 eV
 2627.  2627 a                     +3.180517 H =       +86.546 eV
 2626.  2626 a                     +3.179917 H =       +86.530 eV
 2625.  2625 a                     +3.178267 H =       +86.485 eV
 2624.  2624 a                     +3.176659 H =       +86.441 eV
 2623.  2623 a                     +3.175848 H =       +86.419 eV
 2622.  2622 a                     +3.174424 H =       +86.381 eV
 2621.  2621 a                     +3.173357 H =       +86.351 eV
 2620.  2620 a                     +3.172257 H =       +86.322 eV
 2619.  2619 a                     +3.171534 H =       +86.302 eV
 2618.  2618 a                     +3.171394 H =       +86.298 eV
 2617.  2617 a                     +3.170406 H =       +86.271 eV
 2616.  2616 a                     +3.168879 H =       +86.230 eV
 2615.  2615 a                     +3.168359 H =       +86.215 eV
 2614.  2614 a                     +3.167210 H =       +86.184 eV
 2613.  2613 a                     +3.165379 H =       +86.134 eV
 2612.  2612 a                     +3.162930 H =       +86.068 eV
 2611.  2611 a                     +3.162845 H =       +86.065 eV
 2610.  2610 a                     +3.161894 H =       +86.040 eV
 2609.  2609 a                     +3.161249 H =       +86.022 eV
 2608.  2608 a                     +3.160501 H =       +86.002 eV
 2607.  2607 a                     +3.158533 H =       +85.948 eV
 2606.  2606 a                     +3.157994 H =       +85.933 eV
 2605.  2605 a                     +3.156828 H =       +85.902 eV
 2604.  2604 a                     +3.156468 H =       +85.892 eV
 2603.  2603 a                     +3.154375 H =       +85.835 eV
 2602.  2602 a                     +3.153485 H =       +85.811 eV
 2601.  2601 a                     +3.151871 H =       +85.767 eV
 2600.  2600 a                     +3.150112 H =       +85.719 eV
 2599.  2599 a                     +3.148774 H =       +85.683 eV
 2598.  2598 a                     +3.147557 H =       +85.649 eV
 2597.  2597 a                     +3.146803 H =       +85.629 eV
 2596.  2596 a                     +3.145871 H =       +85.604 eV
 2595.  2595 a                     +3.145224 H =       +85.586 eV
 2594.  2594 a                     +3.144144 H =       +85.557 eV
 2593.  2593 a                     +3.143036 H =       +85.526 eV
 2592.  2592 a                     +3.141784 H =       +85.492 eV
 2591.  2591 a                     +3.140598 H =       +85.460 eV
 2590.  2590 a                     +3.139504 H =       +85.430 eV
 2589.  2589 a                     +3.138085 H =       +85.392 eV
 2588.  2588 a                     +3.136960 H =       +85.361 eV
 2587.  2587 a                     +3.135696 H =       +85.327 eV
 2586.  2586 a                     +3.135299 H =       +85.316 eV
 2585.  2585 a                     +3.134876 H =       +85.304 eV
 2584.  2584 a                     +3.133305 H =       +85.262 eV
 2583.  2583 a                     +3.132030 H =       +85.227 eV
 2582.  2582 a                     +3.130725 H =       +85.191 eV
 2581.  2581 a                     +3.128294 H =       +85.125 eV
 2580.  2580 a                     +3.127373 H =       +85.100 eV
 2579.  2579 a                     +3.126848 H =       +85.086 eV
 2578.  2578 a                     +3.125055 H =       +85.037 eV
 2577.  2577 a                     +3.123471 H =       +84.994 eV
 2576.  2576 a                     +3.122305 H =       +84.962 eV
 2575.  2575 a                     +3.121621 H =       +84.944 eV
 2574.  2574 a                     +3.121426 H =       +84.938 eV
 2573.  2573 a                     +3.120087 H =       +84.902 eV
 2572.  2572 a                     +3.119655 H =       +84.890 eV
 2571.  2571 a                     +3.118319 H =       +84.854 eV
 2570.  2570 a                     +3.116135 H =       +84.794 eV
 2569.  2569 a                     +3.115250 H =       +84.770 eV
 2568.  2568 a                     +3.114995 H =       +84.763 eV
 2567.  2567 a                     +3.113642 H =       +84.727 eV
 2566.  2566 a                     +3.111543 H =       +84.669 eV
 2565.  2565 a                     +3.110720 H =       +84.647 eV
 2564.  2564 a                     +3.110296 H =       +84.636 eV
 2563.  2563 a                     +3.109560 H =       +84.615 eV
 2562.  2562 a                     +3.108076 H =       +84.575 eV
 2561.  2561 a                     +3.106667 H =       +84.537 eV
 2560.  2560 a                     +3.104256 H =       +84.471 eV
 2559.  2559 a                     +3.103677 H =       +84.455 eV
 2558.  2558 a                     +3.102504 H =       +84.423 eV
 2557.  2557 a                     +3.100466 H =       +84.368 eV
 2556.  2556 a                     +3.100181 H =       +84.360 eV
 2555.  2555 a                     +3.098971 H =       +84.327 eV
 2554.  2554 a                     +3.096790 H =       +84.268 eV
 2553.  2553 a                     +3.096378 H =       +84.257 eV
 2552.  2552 a                     +3.094415 H =       +84.203 eV
 2551.  2551 a                     +3.093442 H =       +84.177 eV
 2550.  2550 a                     +3.092701 H =       +84.157 eV
 2549.  2549 a                     +3.092107 H =       +84.141 eV
 2548.  2548 a                     +3.090590 H =       +84.099 eV
 2547.  2547 a                     +3.089768 H =       +84.077 eV
 2546.  2546 a                     +3.088713 H =       +84.048 eV
 2545.  2545 a                     +3.086211 H =       +83.980 eV
 2544.  2544 a                     +3.085554 H =       +83.962 eV
 2543.  2543 a                     +3.085092 H =       +83.950 eV
 2542.  2542 a                     +3.083326 H =       +83.902 eV
 2541.  2541 a                     +3.081946 H =       +83.864 eV
 2540.  2540 a                     +3.080832 H =       +83.834 eV
 2539.  2539 a                     +3.080170 H =       +83.816 eV
 2538.  2538 a                     +3.078548 H =       +83.772 eV
 2537.  2537 a                     +3.076603 H =       +83.719 eV
 2536.  2536 a                     +3.076521 H =       +83.716 eV
 2535.  2535 a                     +3.075089 H =       +83.677 eV
 2534.  2534 a                     +3.074404 H =       +83.659 eV
 2533.  2533 a                     +3.074197 H =       +83.653 eV
 2532.  2532 a                     +3.071874 H =       +83.590 eV
 2531.  2531 a                     +3.070669 H =       +83.557 eV
 2530.  2530 a                     +3.067831 H =       +83.480 eV
 2529.  2529 a                     +3.067449 H =       +83.470 eV
 2528.  2528 a                     +3.064439 H =       +83.388 eV
 2527.  2527 a                     +3.063647 H =       +83.366 eV
 2526.  2526 a                     +3.063174 H =       +83.353 eV
 2525.  2525 a                     +3.061739 H =       +83.314 eV
 2524.  2524 a                     +3.060622 H =       +83.284 eV
 2523.  2523 a                     +3.059797 H =       +83.261 eV
 2522.  2522 a                     +3.057658 H =       +83.203 eV
 2521.  2521 a                     +3.055947 H =       +83.157 eV
 2520.  2520 a                     +3.055272 H =       +83.138 eV
