
 eiger (gplogin1.local) : TURBOMOLE V7.2 ( 21285 ) 30 Jun 2017 at 11:51:10
 Copyright (C) 2017 TURBOMOLE GmbH, Karlsruhe


    2018-01-22 10:38:37.641 

                                                                                
  
 HOMO-LUMO Separation
   HOMO:   415.   415 a     -0.19251350 H =     -5.23856 eV
   LUMO:   416.   416 a     -0.12911887 H =     -3.51351 eV
   Gap :                    +0.06339462 H =     +1.72506 eV
 
Number of MOs=   4716, Electrons=    830.00, Symmetry: c1   
 
   Nr.   Orbital    Occupation       Energy
 3980.  3980 a                     +4.925408 H =      +134.027 eV
 3979.  3979 a                     +4.924885 H =      +134.013 eV
 3978.  3978 a                     +4.923506 H =      +133.975 eV
 3977.  3977 a                     +4.920409 H =      +133.891 eV
 3976.  3976 a                     +4.918666 H =      +133.844 eV
 3975.  3975 a                     +4.916522 H =      +133.785 eV
 3974.  3974 a                     +4.915654 H =      +133.762 eV
 3973.  3973 a                     +4.914096 H =      +133.719 eV
 3972.  3972 a                     +4.912159 H =      +133.667 eV
 3971.  3971 a                     +4.910817 H =      +133.630 eV
 3970.  3970 a                     +4.908586 H =      +133.570 eV
 3969.  3969 a                     +4.906674 H =      +133.517 eV
 3968.  3968 a                     +4.904065 H =      +133.446 eV
 3967.  3967 a                     +4.902862 H =      +133.414 eV
 3966.  3966 a                     +4.900643 H =      +133.353 eV
 3965.  3965 a                     +4.897158 H =      +133.259 eV
 3964.  3964 a                     +4.896447 H =      +133.239 eV
 3963.  3963 a                     +4.894911 H =      +133.197 eV
 3962.  3962 a                     +4.891354 H =      +133.101 eV
 3961.  3961 a                     +4.887679 H =      +133.001 eV
 3960.  3960 a                     +4.885503 H =      +132.941 eV
 3959.  3959 a                     +4.883798 H =      +132.895 eV
 3958.  3958 a                     +4.882752 H =      +132.867 eV
 3957.  3957 a                     +4.879847 H =      +132.787 eV
 3956.  3956 a                     +4.877672 H =      +132.728 eV
 3955.  3955 a                     +4.876492 H =      +132.696 eV
 3954.  3954 a                     +4.874448 H =      +132.641 eV
 3953.  3953 a                     +4.871720 H =      +132.566 eV
 3952.  3952 a                     +4.870148 H =      +132.524 eV
 3951.  3951 a                     +4.868154 H =      +132.469 eV
 3950.  3950 a                     +4.863841 H =      +132.352 eV
 3949.  3949 a                     +4.862661 H =      +132.320 eV
 3948.  3948 a                     +4.861084 H =      +132.277 eV
 3947.  3947 a                     +4.859758 H =      +132.241 eV
 3946.  3946 a                     +4.858769 H =      +132.214 eV
 3945.  3945 a                     +4.855890 H =      +132.136 eV
 3944.  3944 a                     +4.854989 H =      +132.111 eV
 3943.  3943 a                     +4.851957 H =      +132.029 eV
 3942.  3942 a                     +4.850370 H =      +131.985 eV
 3941.  3941 a                     +4.848730 H =      +131.941 eV
 3940.  3940 a                     +4.847766 H =      +131.914 eV
 3939.  3939 a                     +4.843644 H =      +131.802 eV
 3938.  3938 a                     +4.842081 H =      +131.760 eV
 3937.  3937 a                     +4.840657 H =      +131.721 eV
 3936.  3936 a                     +4.838255 H =      +131.656 eV
 3935.  3935 a                     +4.835759 H =      +131.588 eV
 3934.  3934 a                     +4.835220 H =      +131.573 eV
 3933.  3933 a                     +4.831957 H =      +131.484 eV
 3932.  3932 a                     +4.830748 H =      +131.451 eV
 3931.  3931 a                     +4.829824 H =      +131.426 eV
 3930.  3930 a                     +4.828184 H =      +131.382 eV
 3929.  3929 a                     +4.826495 H =      +131.336 eV
 3928.  3928 a                     +4.826211 H =      +131.328 eV
 3927.  3927 a                     +4.823293 H =      +131.249 eV
 3926.  3926 a                     +4.822042 H =      +131.215 eV
 3925.  3925 a                     +4.821177 H =      +131.191 eV
 3924.  3924 a                     +4.819493 H =      +131.145 eV
 3923.  3923 a                     +4.818480 H =      +131.118 eV
 3922.  3922 a                     +4.817856 H =      +131.101 eV
 3921.  3921 a                     +4.815334 H =      +131.032 eV
 3920.  3920 a                     +4.813164 H =      +130.973 eV
 3919.  3919 a                     +4.810985 H =      +130.914 eV
 3918.  3918 a                     +4.808692 H =      +130.851 eV
 3917.  3917 a                     +4.807701 H =      +130.824 eV
 3916.  3916 a                     +4.806726 H =      +130.798 eV
 3915.  3915 a                     +4.803171 H =      +130.701 eV
 3914.  3914 a                     +4.802420 H =      +130.681 eV
 3913.  3913 a                     +4.800038 H =      +130.616 eV
 3912.  3912 a                     +4.797180 H =      +130.538 eV
 3911.  3911 a                     +4.795088 H =      +130.481 eV
 3910.  3910 a                     +4.792532 H =      +130.412 eV
 3909.  3909 a                     +4.791542 H =      +130.385 eV
 3908.  3908 a                     +4.788421 H =      +130.300 eV
 3907.  3907 a                     +4.787494 H =      +130.274 eV
 3906.  3906 a                     +4.786896 H =      +130.258 eV
 3905.  3905 a                     +4.786337 H =      +130.243 eV
 3904.  3904 a                     +4.783972 H =      +130.179 eV
 3903.  3903 a                     +4.782264 H =      +130.132 eV
 3902.  3902 a                     +4.780956 H =      +130.097 eV
 3901.  3901 a                     +4.780340 H =      +130.080 eV
 3900.  3900 a                     +4.776863 H =      +129.985 eV
 3899.  3899 a                     +4.776286 H =      +129.969 eV
 3898.  3898 a                     +4.774803 H =      +129.929 eV
 3897.  3897 a                     +4.773389 H =      +129.891 eV
 3896.  3896 a                     +4.770500 H =      +129.812 eV
 3895.  3895 a                     +4.769234 H =      +129.778 eV
 3894.  3894 a                     +4.767869 H =      +129.740 eV
 3893.  3893 a                     +4.765922 H =      +129.687 eV
 3892.  3892 a                     +4.764382 H =      +129.645 eV
 3891.  3891 a                     +4.763809 H =      +129.630 eV
 3890.  3890 a                     +4.761548 H =      +129.568 eV
 3889.  3889 a                     +4.759552 H =      +129.514 eV
 3888.  3888 a                     +4.757581 H =      +129.460 eV
 3887.  3887 a                     +4.754101 H =      +129.366 eV
 3886.  3886 a                     +4.752070 H =      +129.310 eV
 3885.  3885 a                     +4.749981 H =      +129.254 eV
 3884.  3884 a                     +4.748666 H =      +129.218 eV
 3883.  3883 a                     +4.747554 H =      +129.188 eV
 3882.  3882 a                     +4.743378 H =      +129.074 eV
 3881.  3881 a                     +4.741122 H =      +129.013 eV
 3880.  3880 a                     +4.738042 H =      +128.929 eV
 3879.  3879 a                     +4.736190 H =      +128.878 eV
 3878.  3878 a                     +4.734872 H =      +128.843 eV
 3877.  3877 a                     +4.733982 H =      +128.818 eV
 3876.  3876 a                     +4.731604 H =      +128.754 eV
 3875.  3875 a                     +4.729434 H =      +128.695 eV
 3874.  3874 a                     +4.728337 H =      +128.665 eV
 3873.  3873 a                     +4.725129 H =      +128.577 eV
 3872.  3872 a                     +4.723927 H =      +128.545 eV
 3871.  3871 a                     +4.723713 H =      +128.539 eV
 3870.  3870 a                     +4.722026 H =      +128.493 eV
 3869.  3869 a                     +4.718351 H =      +128.393 eV
 3868.  3868 a                     +4.715547 H =      +128.317 eV
 3867.  3867 a                     +4.714486 H =      +128.288 eV
 3866.  3866 a                     +4.712989 H =      +128.247 eV
 3865.  3865 a                     +4.711747 H =      +128.213 eV
 3864.  3864 a                     +4.709259 H =      +128.146 eV
 3863.  3863 a                     +4.707663 H =      +128.102 eV
 3862.  3862 a                     +4.705438 H =      +128.042 eV
 3861.  3861 a                     +4.703572 H =      +127.991 eV
 3860.  3860 a                     +4.701006 H =      +127.921 eV
 3859.  3859 a                     +4.696380 H =      +127.795 eV
 3858.  3858 a                     +4.694336 H =      +127.739 eV
 3857.  3857 a                     +4.693426 H =      +127.715 eV
 3856.  3856 a                     +4.687618 H =      +127.557 eV
 3855.  3855 a                     +4.684225 H =      +127.464 eV
 3854.  3854 a                     +4.683355 H =      +127.441 eV
 3853.  3853 a                     +4.681630 H =      +127.394 eV
 3852.  3852 a                     +4.680556 H =      +127.364 eV
 3851.  3851 a                     +4.678777 H =      +127.316 eV
 3850.  3850 a                     +4.676837 H =      +127.263 eV
 3849.  3849 a                     +4.674161 H =      +127.190 eV
 3848.  3848 a                     +4.671989 H =      +127.131 eV
 3847.  3847 a                     +4.671117 H =      +127.108 eV
 3846.  3846 a                     +4.668569 H =      +127.038 eV
 3845.  3845 a                     +4.667129 H =      +126.999 eV
 3844.  3844 a                     +4.666309 H =      +126.977 eV
 3843.  3843 a                     +4.663515 H =      +126.901 eV
 3842.  3842 a                     +4.663132 H =      +126.890 eV
 3841.  3841 a                     +4.660594 H =      +126.821 eV
 3840.  3840 a                     +4.657866 H =      +126.747 eV
 3839.  3839 a                     +4.655331 H =      +126.678 eV
 3838.  3838 a                     +4.653139 H =      +126.618 eV
 3837.  3837 a                     +4.650433 H =      +126.545 eV
 3836.  3836 a                     +4.649019 H =      +126.506 eV
 3835.  3835 a                     +4.646658 H =      +126.442 eV
 3834.  3834 a                     +4.643071 H =      +126.344 eV
 3833.  3833 a                     +4.642777 H =      +126.336 eV
 3832.  3832 a                     +4.641450 H =      +126.300 eV
 3831.  3831 a                     +4.639414 H =      +126.245 eV
 3830.  3830 a                     +4.637706 H =      +126.198 eV
 3829.  3829 a                     +4.631740 H =      +126.036 eV
 3828.  3828 a                     +4.630274 H =      +125.996 eV
 3827.  3827 a                     +4.625602 H =      +125.869 eV
 3826.  3826 a                     +4.624204 H =      +125.831 eV
 3825.  3825 a                     +4.623199 H =      +125.804 eV
 3824.  3824 a                     +4.617706 H =      +125.654 eV
 3823.  3823 a                     +4.616525 H =      +125.622 eV
 3822.  3822 a                     +4.615671 H =      +125.599 eV
 3821.  3821 a                     +4.613462 H =      +125.539 eV
 3820.  3820 a                     +4.607688 H =      +125.382 eV
 3819.  3819 a                     +4.604871 H =      +125.305 eV
 3818.  3818 a                     +4.604123 H =      +125.285 eV
 3817.  3817 a                     +4.603253 H =      +125.261 eV
 3816.  3816 a                     +4.598216 H =      +125.124 eV
 3815.  3815 a                     +4.597152 H =      +125.095 eV
 3814.  3814 a                     +4.595442 H =      +125.048 eV
 3813.  3813 a                     +4.592583 H =      +124.971 eV
 3812.  3812 a                     +4.591097 H =      +124.930 eV
 3811.  3811 a                     +4.589076 H =      +124.875 eV
 3810.  3810 a                     +4.587900 H =      +124.843 eV
 3809.  3809 a                     +4.585660 H =      +124.782 eV
 3808.  3808 a                     +4.581227 H =      +124.662 eV
 3807.  3807 a                     +4.580378 H =      +124.639 eV
 3806.  3806 a                     +4.577265 H =      +124.554 eV
 3805.  3805 a                     +4.576140 H =      +124.523 eV
 3804.  3804 a                     +4.573378 H =      +124.448 eV
 3803.  3803 a                     +4.571899 H =      +124.408 eV
 3802.  3802 a                     +4.568354 H =      +124.311 eV
 3801.  3801 a                     +4.565065 H =      +124.222 eV
 3800.  3800 a                     +4.564200 H =      +124.198 eV
 3799.  3799 a                     +4.563383 H =      +124.176 eV
 3798.  3798 a                     +4.559521 H =      +124.071 eV
 3797.  3797 a                     +4.556334 H =      +123.984 eV
 3796.  3796 a                     +4.554636 H =      +123.938 eV
 3795.  3795 a                     +4.552359 H =      +123.876 eV
 3794.  3794 a                     +4.550866 H =      +123.835 eV
 3793.  3793 a                     +4.548679 H =      +123.776 eV
 3792.  3792 a                     +4.548610 H =      +123.774 eV
 3791.  3791 a                     +4.545050 H =      +123.677 eV
 3790.  3790 a                     +4.543967 H =      +123.648 eV
 3789.  3789 a                     +4.541711 H =      +123.586 eV
 3788.  3788 a                     +4.540578 H =      +123.555 eV
 3787.  3787 a                     +4.539105 H =      +123.515 eV
 3786.  3786 a                     +4.535895 H =      +123.428 eV
 3785.  3785 a                     +4.533565 H =      +123.365 eV
 3784.  3784 a                     +4.531290 H =      +123.303 eV
 3783.  3783 a                     +4.530681 H =      +123.286 eV
 3782.  3782 a                     +4.528503 H =      +123.227 eV
 3781.  3781 a                     +4.523756 H =      +123.098 eV
 3780.  3780 a                     +4.521697 H =      +123.042 eV
 3779.  3779 a                     +4.517749 H =      +122.934 eV
 3778.  3778 a                     +4.517225 H =      +122.920 eV
 3777.  3777 a                     +4.515890 H =      +122.884 eV
 3776.  3776 a                     +4.512767 H =      +122.799 eV
 3775.  3775 a                     +4.511780 H =      +122.772 eV
 3774.  3774 a                     +4.509626 H =      +122.713 eV
 3773.  3773 a                     +4.507387 H =      +122.652 eV
 3772.  3772 a                     +4.505074 H =      +122.589 eV
 3771.  3771 a                     +4.503457 H =      +122.545 eV
 3770.  3770 a                     +4.501368 H =      +122.489 eV
 3769.  3769 a                     +4.500455 H =      +122.464 eV
 3768.  3768 a                     +4.499725 H =      +122.444 eV
 3767.  3767 a                     +4.498082 H =      +122.399 eV
 3766.  3766 a                     +4.492872 H =      +122.257 eV
 3765.  3765 a                     +4.490259 H =      +122.186 eV
 3764.  3764 a                     +4.488920 H =      +122.150 eV
 3763.  3763 a                     +4.487020 H =      +122.098 eV
 3762.  3762 a                     +4.484921 H =      +122.041 eV
 3761.  3761 a                     +4.482221 H =      +121.968 eV
 3760.  3760 a                     +4.481863 H =      +121.958 eV
 3759.  3759 a                     +4.478959 H =      +121.879 eV
 3758.  3758 a                     +4.478033 H =      +121.854 eV
 3757.  3757 a                     +4.475356 H =      +121.781 eV
 3756.  3756 a                     +4.474558 H =      +121.759 eV
 3755.  3755 a                     +4.470934 H =      +121.660 eV
 3754.  3754 a                     +4.469789 H =      +121.629 eV
 3753.  3753 a                     +4.467492 H =      +121.567 eV
 3752.  3752 a                     +4.466093 H =      +121.529 eV
 3751.  3751 a                     +4.463996 H =      +121.472 eV
 3750.  3750 a                     +4.463648 H =      +121.462 eV
 3749.  3749 a                     +4.461282 H =      +121.398 eV
 3748.  3748 a                     +4.459748 H =      +121.356 eV
 3747.  3747 a                     +4.458382 H =      +121.319 eV
 3746.  3746 a                     +4.454637 H =      +121.217 eV
 3745.  3745 a                     +4.453609 H =      +121.189 eV
 3744.  3744 a                     +4.453234 H =      +121.179 eV
 3743.  3743 a                     +4.449446 H =      +121.076 eV
 3742.  3742 a                     +4.449003 H =      +121.064 eV
 3741.  3741 a                     +4.447605 H =      +121.026 eV
 3740.  3740 a                     +4.446005 H =      +120.982 eV
 3739.  3739 a                     +4.444730 H =      +120.947 eV
 3738.  3738 a                     +4.442932 H =      +120.898 eV
 3737.  3737 a                     +4.440547 H =      +120.833 eV
 3736.  3736 a                     +4.439444 H =      +120.803 eV
 3735.  3735 a                     +4.438006 H =      +120.764 eV
 3734.  3734 a                     +4.435003 H =      +120.683 eV
 3733.  3733 a                     +4.432138 H =      +120.605 eV
 3732.  3732 a                     +4.431333 H =      +120.583 eV
 3731.  3731 a                     +4.429520 H =      +120.533 eV
 3730.  3730 a                     +4.428078 H =      +120.494 eV
 3729.  3729 a                     +4.427276 H =      +120.472 eV
 3728.  3728 a                     +4.425411 H =      +120.422 eV
 3727.  3727 a                     +4.424913 H =      +120.408 eV
 3726.  3726 a                     +4.424204 H =      +120.389 eV
 3725.  3725 a                     +4.421595 H =      +120.318 eV
 3724.  3724 a                     +4.419733 H =      +120.267 eV
 3723.  3723 a                     +4.418926 H =      +120.245 eV
 3722.  3722 a                     +4.417124 H =      +120.196 eV
 3721.  3721 a                     +4.414413 H =      +120.122 eV
 3720.  3720 a                     +4.413919 H =      +120.109 eV
 3719.  3719 a                     +4.412854 H =      +120.080 eV
 3718.  3718 a                     +4.408342 H =      +119.957 eV
 3717.  3717 a                     +4.406550 H =      +119.908 eV
 3716.  3716 a                     +4.405098 H =      +119.869 eV
 3715.  3715 a                     +4.404072 H =      +119.841 eV
 3714.  3714 a                     +4.402797 H =      +119.806 eV
 3713.  3713 a                     +4.400531 H =      +119.745 eV
 3712.  3712 a                     +4.397884 H =      +119.673 eV
 3711.  3711 a                     +4.395668 H =      +119.612 eV
 3710.  3710 a                     +4.394033 H =      +119.568 eV
 3709.  3709 a                     +4.392912 H =      +119.537 eV
 3708.  3708 a                     +4.391227 H =      +119.491 eV
 3707.  3707 a                     +4.388891 H =      +119.428 eV
 3706.  3706 a                     +4.388221 H =      +119.410 eV
 3705.  3705 a                     +4.387570 H =      +119.392 eV
 3704.  3704 a                     +4.385727 H =      +119.342 eV
 3703.  3703 a                     +4.382418 H =      +119.252 eV
 3702.  3702 a                     +4.382197 H =      +119.246 eV
 3701.  3701 a                     +4.380438 H =      +119.198 eV
 3700.  3700 a                     +4.379733 H =      +119.179 eV
 3699.  3699 a                     +4.377712 H =      +119.124 eV
 3698.  3698 a                     +4.375046 H =      +119.051 eV
 3697.  3697 a                     +4.374043 H =      +119.024 eV
 3696.  3696 a                     +4.372643 H =      +118.986 eV
 3695.  3695 a                     +4.371740 H =      +118.961 eV
 3694.  3694 a                     +4.369176 H =      +118.891 eV
 3693.  3693 a                     +4.367556 H =      +118.847 eV
 3692.  3692 a                     +4.367433 H =      +118.844 eV
 3691.  3691 a                     +4.364908 H =      +118.775 eV
 3690.  3690 a                     +4.364115 H =      +118.754 eV
 3689.  3689 a                     +4.362965 H =      +118.722 eV
 3688.  3688 a                     +4.359228 H =      +118.621 eV
 3687.  3687 a                     +4.358801 H =      +118.609 eV
 3686.  3686 a                     +4.357407 H =      +118.571 eV
 3685.  3685 a                     +4.356290 H =      +118.541 eV
 3684.  3684 a                     +4.353864 H =      +118.475 eV
 3683.  3683 a                     +4.353585 H =      +118.467 eV
 3682.  3682 a                     +4.352194 H =      +118.429 eV
 3681.  3681 a                     +4.349246 H =      +118.349 eV
 3680.  3680 a                     +4.348941 H =      +118.341 eV
 3679.  3679 a                     +4.347643 H =      +118.305 eV
 3678.  3678 a                     +4.346348 H =      +118.270 eV
 3677.  3677 a                     +4.344544 H =      +118.221 eV
 3676.  3676 a                     +4.342874 H =      +118.176 eV
 3675.  3675 a                     +4.341986 H =      +118.152 eV
 3674.  3674 a                     +4.341574 H =      +118.140 eV
 3673.  3673 a                     +4.340463 H =      +118.110 eV
 3672.  3672 a                     +4.337102 H =      +118.019 eV
 3671.  3671 a                     +4.334373 H =      +117.944 eV
 3670.  3670 a                     +4.333928 H =      +117.932 eV
 3669.  3669 a                     +4.332199 H =      +117.885 eV
 3668.  3668 a                     +4.330775 H =      +117.846 eV
 3667.  3667 a                     +4.329572 H =      +117.814 eV
 3666.  3666 a                     +4.328995 H =      +117.798 eV
 3665.  3665 a                     +4.327646 H =      +117.761 eV
 3664.  3664 a                     +4.326495 H =      +117.730 eV
 3663.  3663 a                     +4.324573 H =      +117.678 eV
 3662.  3662 a                     +4.323848 H =      +117.658 eV
 3661.  3661 a                     +4.322360 H =      +117.617 eV
 3660.  3660 a                     +4.321180 H =      +117.585 eV
 3659.  3659 a                     +4.318800 H =      +117.521 eV
 3658.  3658 a                     +4.317559 H =      +117.487 eV
 3657.  3657 a                     +4.315628 H =      +117.434 eV
 3656.  3656 a                     +4.314449 H =      +117.402 eV
 3655.  3655 a                     +4.312303 H =      +117.344 eV
 3654.  3654 a                     +4.309895 H =      +117.278 eV
 3653.  3653 a                     +4.308293 H =      +117.235 eV
 3652.  3652 a                     +4.307735 H =      +117.219 eV
 3651.  3651 a                     +4.306712 H =      +117.192 eV
 3650.  3650 a                     +4.305865 H =      +117.169 eV
 3649.  3649 a                     +4.304079 H =      +117.120 eV
 3648.  3648 a                     +4.302429 H =      +117.075 eV
 3647.  3647 a                     +4.301305 H =      +117.045 eV
 3646.  3646 a                     +4.300797 H =      +117.031 eV
 3645.  3645 a                     +4.299192 H =      +116.987 eV
 3644.  3644 a                     +4.298456 H =      +116.967 eV
 3643.  3643 a                     +4.296981 H =      +116.927 eV
 3642.  3642 a                     +4.296082 H =      +116.902 eV
 3641.  3641 a                     +4.294358 H =      +116.855 eV
 3640.  3640 a                     +4.292139 H =      +116.795 eV
 3639.  3639 a                     +4.290842 H =      +116.760 eV
 3638.  3638 a                     +4.289408 H =      +116.721 eV
 3637.  3637 a                     +4.289090 H =      +116.712 eV
 3636.  3636 a                     +4.287604 H =      +116.672 eV
 3635.  3635 a                     +4.286777 H =      +116.649 eV
 3634.  3634 a                     +4.285129 H =      +116.604 eV
 3633.  3633 a                     +4.283236 H =      +116.553 eV
 3632.  3632 a                     +4.282910 H =      +116.544 eV
 3631.  3631 a                     +4.282254 H =      +116.526 eV
 3630.  3630 a                     +4.280634 H =      +116.482 eV
 3629.  3629 a                     +4.279479 H =      +116.451 eV
 3628.  3628 a                     +4.278639 H =      +116.428 eV
 3627.  3627 a                     +4.276889 H =      +116.380 eV
 3626.  3626 a                     +4.275837 H =      +116.352 eV
 3625.  3625 a                     +4.275217 H =      +116.335 eV
 3624.  3624 a                     +4.274777 H =      +116.323 eV
 3623.  3623 a                     +4.273564 H =      +116.290 eV
 3622.  3622 a                     +4.273327 H =      +116.283 eV
 3621.  3621 a                     +4.270990 H =      +116.220 eV
 3620.  3620 a                     +4.270642 H =      +116.210 eV
 3619.  3619 a                     +4.269294 H =      +116.173 eV
 3618.  3618 a                     +4.268367 H =      +116.148 eV
 3617.  3617 a                     +4.267583 H =      +116.127 eV
 3616.  3616 a                     +4.265342 H =      +116.066 eV
 3615.  3615 a                     +4.265216 H =      +116.062 eV
 3614.  3614 a                     +4.265079 H =      +116.059 eV
 3613.  3613 a                     +4.263997 H =      +116.029 eV
 3612.  3612 a                     +4.262916 H =      +116.000 eV
 3611.  3611 a                     +4.260879 H =      +115.944 eV
 3610.  3610 a                     +4.259004 H =      +115.893 eV
 3609.  3609 a                     +4.258189 H =      +115.871 eV
 3608.  3608 a                     +4.256629 H =      +115.829 eV
 3607.  3607 a                     +4.255488 H =      +115.798 eV
 3606.  3606 a                     +4.254423 H =      +115.769 eV
 3605.  3605 a                     +4.253029 H =      +115.731 eV
 3604.  3604 a                     +4.250893 H =      +115.673 eV
 3603.  3603 a                     +4.250215 H =      +115.654 eV
 3602.  3602 a                     +4.248189 H =      +115.599 eV
 3601.  3601 a                     +4.247319 H =      +115.576 eV
 3600.  3600 a                     +4.246779 H =      +115.561 eV
 3599.  3599 a                     +4.244889 H =      +115.509 eV
 3598.  3598 a                     +4.243698 H =      +115.477 eV
 3597.  3597 a                     +4.242065 H =      +115.433 eV
 3596.  3596 a                     +4.240602 H =      +115.393 eV
 3595.  3595 a                     +4.239837 H =      +115.372 eV
 3594.  3594 a                     +4.238850 H =      +115.345 eV
 3593.  3593 a                     +4.237959 H =      +115.321 eV
 3592.  3592 a                     +4.236436 H =      +115.279 eV
 3591.  3591 a                     +4.235702 H =      +115.259 eV
 3590.  3590 a                     +4.233776 H =      +115.207 eV
 3589.  3589 a                     +4.232598 H =      +115.175 eV
 3588.  3588 a                     +4.232217 H =      +115.165 eV
 3587.  3587 a                     +4.229864 H =      +115.101 eV
 3586.  3586 a                     +4.229491 H =      +115.090 eV
 3585.  3585 a                     +4.228224 H =      +115.056 eV
 3584.  3584 a                     +4.226882 H =      +115.019 eV
 3583.  3583 a                     +4.225773 H =      +114.989 eV
 3582.  3582 a                     +4.225343 H =      +114.978 eV
 3581.  3581 a                     +4.222218 H =      +114.892 eV
 3580.  3580 a                     +4.221874 H =      +114.883 eV
 3579.  3579 a                     +4.221036 H =      +114.860 eV
 3578.  3578 a                     +4.218847 H =      +114.801 eV
 3577.  3577 a                     +4.217828 H =      +114.773 eV
 3576.  3576 a                     +4.217354 H =      +114.760 eV
 3575.  3575 a                     +4.215578 H =      +114.712 eV
 3574.  3574 a                     +4.213857 H =      +114.665 eV
 3573.  3573 a                     +4.213483 H =      +114.655 eV
 3572.  3572 a                     +4.212103 H =      +114.617 eV
 3571.  3571 a                     +4.211119 H =      +114.590 eV
 3570.  3570 a                     +4.208160 H =      +114.510 eV
 3569.  3569 a                     +4.206406 H =      +114.462 eV
 3568.  3568 a                     +4.205488 H =      +114.437 eV
 3567.  3567 a                     +4.203804 H =      +114.391 eV
 3566.  3566 a                     +4.203196 H =      +114.375 eV
 3565.  3565 a                     +4.201154 H =      +114.319 eV
 3564.  3564 a                     +4.200236 H =      +114.294 eV
 3563.  3563 a                     +4.199873 H =      +114.284 eV
 3562.  3562 a                     +4.198009 H =      +114.234 eV
 3561.  3561 a                     +4.197701 H =      +114.225 eV
 3560.  3560 a                     +4.195229 H =      +114.158 eV
 3559.  3559 a                     +4.193472 H =      +114.110 eV
 3558.  3558 a                     +4.191865 H =      +114.067 eV
 3557.  3557 a                     +4.191290 H =      +114.051 eV
 3556.  3556 a                     +4.190558 H =      +114.031 eV
 3555.  3555 a                     +4.189483 H =      +114.002 eV
 3554.  3554 a                     +4.186676 H =      +113.925 eV
 3553.  3553 a                     +4.184885 H =      +113.877 eV
 3552.  3552 a                     +4.183910 H =      +113.850 eV
 3551.  3551 a                     +4.183453 H =      +113.838 eV
 3550.  3550 a                     +4.182599 H =      +113.814 eV
 3549.  3549 a                     +4.181529 H =      +113.785 eV
 3548.  3548 a                     +4.181086 H =      +113.773 eV
 3547.  3547 a                     +4.177655 H =      +113.680 eV
 3546.  3546 a                     +4.176606 H =      +113.651 eV
 3545.  3545 a                     +4.175565 H =      +113.623 eV
 3544.  3544 a                     +4.174194 H =      +113.586 eV
 3543.  3543 a                     +4.172757 H =      +113.547 eV
 3542.  3542 a                     +4.172347 H =      +113.535 eV
 3541.  3541 a                     +4.170734 H =      +113.492 eV
 3540.  3540 a                     +4.168772 H =      +113.438 eV
 3539.  3539 a                     +4.167432 H =      +113.402 eV
 3538.  3538 a                     +4.166708 H =      +113.382 eV
 3537.  3537 a                     +4.165457 H =      +113.348 eV
 3536.  3536 a                     +4.165237 H =      +113.342 eV
 3535.  3535 a                     +4.164163 H =      +113.313 eV
 3534.  3534 a                     +4.163487 H =      +113.294 eV
 3533.  3533 a                     +4.161758 H =      +113.247 eV
 3532.  3532 a                     +4.160971 H =      +113.226 eV
 3531.  3531 a                     +4.160215 H =      +113.205 eV
 3530.  3530 a                     +4.158727 H =      +113.165 eV
 3529.  3529 a                     +4.157370 H =      +113.128 eV
 3528.  3528 a                     +4.156761 H =      +113.111 eV
 3527.  3527 a                     +4.155607 H =      +113.080 eV
 3526.  3526 a                     +4.155203 H =      +113.069 eV
 3525.  3525 a                     +4.154677 H =      +113.055 eV
 3524.  3524 a                     +4.152206 H =      +112.987 eV
 3523.  3523 a                     +4.150655 H =      +112.945 eV
 3522.  3522 a                     +4.148345 H =      +112.882 eV
 3521.  3521 a                     +4.147724 H =      +112.865 eV
 3520.  3520 a                     +4.147473 H =      +112.859 eV
 3519.  3519 a                     +4.146164 H =      +112.823 eV
 3518.  3518 a                     +4.144214 H =      +112.770 eV
 3517.  3517 a                     +4.143158 H =      +112.741 eV
 3516.  3516 a                     +4.142244 H =      +112.716 eV
 3515.  3515 a                     +4.140144 H =      +112.659 eV
 3514.  3514 a                     +4.138156 H =      +112.605 eV
 3513.  3513 a                     +4.137756 H =      +112.594 eV
 3512.  3512 a                     +4.136039 H =      +112.547 eV
 3511.  3511 a                     +4.135468 H =      +112.532 eV
 3510.  3510 a                     +4.132175 H =      +112.442 eV
 3509.  3509 a                     +4.131876 H =      +112.434 eV
 3508.  3508 a                     +4.129196 H =      +112.361 eV
 3507.  3507 a                     +4.128482 H =      +112.342 eV
 3506.  3506 a                     +4.128124 H =      +112.332 eV
 3505.  3505 a                     +4.126624 H =      +112.291 eV
 3504.  3504 a                     +4.125106 H =      +112.250 eV
 3503.  3503 a                     +4.124956 H =      +112.246 eV
 3502.  3502 a                     +4.123329 H =      +112.202 eV
 3501.  3501 a                     +4.122989 H =      +112.192 eV
 3500.  3500 a                     +4.122186 H =      +112.170 eV
 3499.  3499 a                     +4.118327 H =      +112.065 eV
 3498.  3498 a                     +4.117017 H =      +112.030 eV
 3497.  3497 a                     +4.116004 H =      +112.002 eV
 3496.  3496 a                     +4.115478 H =      +111.988 eV
 3495.  3495 a                     +4.114148 H =      +111.952 eV
 3494.  3494 a                     +4.113627 H =      +111.938 eV
 3493.  3493 a                     +4.109194 H =      +111.817 eV
 3492.  3492 a                     +4.107632 H =      +111.774 eV
 3491.  3491 a                     +4.106965 H =      +111.756 eV
